Athina ; Angora
Budapest ; Sofia
Frankfurt ; Kobenhavn
Rostov ; Erzurum
Sofia ; Smyrna
Kyiv ; Petrograd
Zurich ; Brindisi
Zurich ; Budapest
Warszawa ; Smolensk
Zagrab ; Brindisi
Paris ; Zagrab
Brest ; Marseille
London ; Berlin
Edinburgh ; Paris
Amsterdam ; Pamplona
Roma ; Smyrna
Palermo ; Constantinople
Sarajevo ; Sevastopol
Madrid ; Dieppe
Barcelona ; Bruxelles
Paris ; Wien
Barcelona ; Munchen
Brest ; Venezia
Smolensk ; Rostov
Marseille ; Essen
Kyiv ; Sochi
Madrid ; Zurich
Berlin ; Bucuresti
Bruxelles ; Danzic
Berlin ; Roma
Angora ; Kharkov
Riga ; Bucuresti
Essen ; Kyiv
Venizia ; Constantinople
London ; Wien
Athina ; Wilno
Stockholm ; Wien
Berlin ; Moskva
Amsterdam ; Wilno
Frankfurt ; Smolensk
Lisboa ; Danzic
Brest ; Petrograd
Palermo ; Moskva
Kobenhavn ; Erzurum
Edinburgh ; Athina
Cadiz ; Stockholm
