Amsterdam ; Amsterdam (Holland)
Angora ; Ankara
Athina ; Athens
Barcelona ; Barcelona
Berlin ; Berlin
Brest ; Brest
Brindisi ; Brindisi
Bruxelles ; Brussels
Bucuresti ; Bucharest
Budapest ; Budapest
Cadiz ; Cadiz
Constantinople ; Istanbul
Danzig ; Gdansk
Dieppe ; Dieppe
Edinburgh ; Edinburgh
Erzurum ; Erzurum
Essen ; Essen
Frankfurt ; Frankfurt
Kharkov ; Kharkov
Kobenhavn ; Copenhagen
Kyiv ; Kiev
Lisboa ; Lisbon
London ; London
Madrid ; Madrid
Marseille ; Marseille
Moskva ; Moscow
Munchen ; Munich
Palermo ; Palermo
Pamplona ; Pamplona
Paris ; Paris
Petrograd ; St. Petersburg
Riga ; Riga
Roma ; Rome
Rostov ; Rostov
Sarajevo ; Sarajevo
Sevastopol ; Sevastopol
Smolensk ; Smolensk
Smyrna ; Izmir
Sochi ; Sochi
Sofia ; Sofia
Stockholm ; Stockholm
Venezia ; Venice
Warszawa ; Warsaw
Wien ; Vienna
Wilno ; Vilnius
Zagrab ; Zagreb
Zurich ; Zurich
